sentence,hate,category
চুমা চুমি ডট কম খুশি গুষ্টি উদ্ধার করুন দুটোকেই বিয়ে পড়িয়ে,0,crime
সালা দুইটাই মাগি মাগিবাজ,1,sports
সাকিব ইংলান্দের খেলে ভাল কারন দেশে সুধু দুরনিতি,0,sports
কাজলের ভাই বাবুল রে নিয়া লইতি হে ভালো এসব নডি মাগীর পুলারা,1,entertainment
পাপন মাগীর পোলা ষডযনত,1,sports
নাটক সবাই দেখবেন,0,sports
হাস্যকর তোরে কুঠি চুলরেও শরম হবেনা খানকি প্রমোশনের আশায় স্যাররে চুদাদিতে দিছিলি একবারের হাজবেন্ডের হকের ভাবলিনা মতন আচ অবস্থা,1,crime
অই শালায় চুলের জাজ,1,entertainment
এভাবে ভন্ডদেরকে জায়গায় ব্রেক ইসলাম ইসলাম আল্লাহু আকবার নারায়ে তাকবীর,0,religion
লাশ কবরে রাখার দুয়াটি ফালতু,0,entertainment
কুতা লিক ছাত্রদে খারনে ছেলে মেয়েদের পড়াতে ইচ্চাকরেনা পরতে সত্রারাশি এইটা কিরকম শিক্কা বাংলায় এসব শিক্কা রাজনিতি বন্দ করাহোক,1,politics
গরীব ধনী চলতে পারবে,0,entertainment
সুন্দর কিচ্ছা ভালো লাগলো ধন্যবাদ দাদা হিরো কাজিম,0,crime
সাকিব আল হাসান পাপন মাদাররির পুত বহিষ্কার,1,sports
জুতার বারি সালা লুচ্চামি চুদাও হ্যাকার দোষ দেও ফাসি চাই এসপি ডিসিদের দামি,1,crime
কথায় উস্তাদের মাইর শেষ রাত,0,sports
শালাকে বাস্তবে বলার পড়ো গান আল্লাহ আল্লাহ করছি,1,religion
কুত্তার বাচছা সত্যি বাহানা,1,crime
বেশ্যার বিচারপতি ভাবনা,1,"Meme, TikTok and others"
শালারে ফাঁসিতে ঝুলান,1,"Meme, TikTok and others"
গাজা খাইছো,0,sports
খানকির পুতেরারে জুতা দিয়া পিটা,1,religion
পোলাপানগুলায় কেনো পিটাইলোনা খানকির পুলাদের,1,entertainment
কাহা রে বলতাছি ওয়াজ দয়া কমেন্ট গুলাও পড়েন কাকা ফেমাস খামোশ যাইবা,0,religion
লাগলা,0,sports
আল্লাহ বেয়াদব কুলাঙ্গার ধ্বংস দাও,1,religion
দুইবার দেখছি,0,entertainment
জুতা মার সালাগরে,1,religion
ভাইয়া এসোবের বিচার ওপর আল্লাহু গোনার ভাগি চাই সবাই আসেন সবাই আল্লাহ্কে সরন কেমন ,0,entertainment
কাদেরের পাকিস্তানের চোদা খাওয়াটার তুলোনা হয়না রুবিতো সামা বিক্রী মেয়ে,1,politics
কুত্তার বাচ্ছা জাফর ইকবাল নামের প্রচ্ছেদে বই লিখব লিখব লিখা কালক্ষেপণ এইবার লিখতে বসেই যাব ,1,celebrity
বলদা রিপোর্ট,0,sports
বাংলাদেশ কামরু কামাইক্ক্যা হোয়েগেছে হিন্দুর মুসলিম সমাম সমান,0,crime
ভাই একটু সতর্ক অবলম্বন করো কুত্তালীগ কামড় মারবে ,1,politics
ভাই তাসকিন জে মজা পাইলাম রে,0,sports
কুমিল্লাতে কয়টা দেশি ছাগলেরা বাল ফালাইতে খেলে,0,sports
ডিসি সাহেব ত জোর নি সেচ্ছায় দুজনের ইচ্ছায় হইছে পারসোনাল ব্যাপার,0,crime
ভালোবাসি সাকিবকে ফিরেএশো ওতি তারি,0,sports
পুটকি মারতে পারতাম জীবনে একটাই আশা,1,entertainment
ছাগুদের কমেন্ট পড়তে আসছি উর্বর মেধাবীদের আসছি,1,celebrity
পুরান দল বাদদিয়ে দল গঠন,0,sports
মাগী নাটকবাজ নাটক ওরে কোপাইতে ইচ্ছা করতেছে হত্যার জড়িত,1,crime
জানোয়ারটা এইরকম ছেলে,1,crime
সালারপুত বড় লেখা লিখস পড়তে পড়তে মাথা ঘুরে মাটিতে পড়ে মরে যাই দায় নিবি বাইনচুদ,1,celebrity
সোনার বাংলাতে রক্ষক নামের ভক্ষকের জায়গা হবেনা মাননীয় প্রধান মন্ত্রীর দৃষ্টান্তমূলক শাস্তি দাবি করছি শালাকে শাস্তি অন্যায়,1,crime
মাদারছদ,1,"Meme, TikTok and others"
চাকরি চাইতে ছেলে লাক্ষ ঘোস মাইয়া ফ্রি চাকরি ঘোস লাগে কাহিনী চোদন চোদন জন্যই চাকরি ছেলেদের মাধার চোদেরা কারণে ছেলেরা বেকার ঘুরে নেসা বেড়ার,1,crime
সুন্দর দেশ অফিসে নারি নিরজাতন কুকুরের বাচচারা জারজ,1,crime
শালা তর নাম ঠিকানা দে আহমাদ শফি রেজাউল করিম ওলিপুরি ভন্ড বলসে তরে,1,religion
ভাই দশ টা খুন করো সমস্যা কুত্তা লিগ মাফ হাইরে হাসিনা,1,crime
মাগিরে জুতা মার,1,crime
হিজড়ার বাচ্চা চাওয়াটা,1,sports
দুর লা শালা,1,religion
ছাগুরা বমি বমি শুভ কামনা দেশে কাঁঠাল পাতার বড়ই অভাব ছাগুরা চেঁচামেচি,1,celebrity
হা হা হা মুক্তিযুদ্ধ রে তুরে বিক্রিকরে মঝা পাইতেছে আওমিলিগ,0,crime
ভাই সাকিব ফিরবে,0,sports
শালার বন্ড গ্রুপ পাইলে ধরিয়া হাকি ওলা বাশ পাছা দিয়া ঢুকিয়া মৃত্যুর টিকিট হাতে ধরাইয়া দিতাম,1,crime
কানকি পোলা,1,religion
নাছির হোসেন,0,sports
শালা শয়তান দল শয়তান,1,religion
দেওয়ান বাগির মারে চুদ,1,religion
বিচারোক মাদারচোদ,1,entertainment
হ্যাপি রুবেলকে ক্রস ফায়ারে দেয়া কারনে সোভা নাসিরের নায়ক নায়িকারা তৈরী সমাজের কলংখ এদেরকে বিদায় দেওয়াটাই উত্তম,1,sports
আওয়ামী কুত্তা জারোজ মেয়েরা টকশো কমেন্ট গুলা দেকতে পাই,1,politics
শালা গানকাটা বানচুদ,1,entertainment
সাকিব খেললে পাপন বাস খাবে,0,sports
মোদি কুত্তার বাচ্ছা,1,"Meme, TikTok and others"
জার্সি পরা মাগীর ছেলেকে ঘন্টা পিটানো হক সাকিব আব্বা অকারনে বাদ দিছে সাধারন পাবলিক গালি খানকির ছেলে,1,sports
হে দেওয়ান বাগীকে হেদাআত দান কর হেদাআত ফেরাউনের চেয়েও নিক্ঋষ্ট মৃত্যু দান কর ,1,religion
তিন দেকলাম ভিডিও আসলেই ভাবতে অবাক লাগে পৃথিবী,0,entertainment
সত্যি বলছে মহিলা ডিসি সাহেব ওনাকে ক্ষতি করিনি মিনিট ওনাকে সুখ শান্তি,0,crime
নাটক টা যতটুকু ভালো লেগেছে খারাপ লেগেছেসংলাপ বুঝা যাওয়ার কারনে সংলাপের সাইড বাজে আওয়াজ রিতিমত বিরক্তিকর,0,entertainment
মাগী চুদাচুদির ছিলনা ভুদায় রড গরম ছয়েক,1,crime
বাইনচুত মাকা বকতা,1,religion
মিন্নি জড়িত রিফাতকে দরে যাচ্ছিলো রিফাতকে হাত বাচাতে মিন্নির ভুমিকায় ছিলো সাধারন পথচারীর হেটে যাচ্ছিলো মিন্নি,0,crime
শেষ কইরেন শাঁকচুন্নি আরো,1,politics
বেইমান সালা,1,sports
বালের মাসুদ রানা বালের অডিশন বোকাচোদা,1,entertainment
মুভি কয়বার কয় চ্যালেনে ছাড়ে এইটা ইউটিউব ছারছে ,0,entertainment
হিন্দুরা মূর্তিপূজা গন্ডমূর্খ দুঃখিত মুক্তমনা মুক্তবুদ্ধির চর্চা করতেছি করবেননা,1,celebrity
বালের জাজ বালের শো গাঞ্জাখোর জাজ শালা রিকুয়েস্ট আপনারা এসব শো তে যাইয়া ক্রিয়েটিভিটি টা সামাজিক যোগাযোগ মাধ্যম ইউটিউবে ধরেন এসবে যাইয়া অপমান দরকার,1,entertainment
লজ্জা বিষ খাইতে পারিস মা বাবার ছেলেমেয়েদের মুখ দেখাচ্ছিস কু,0,crime
চাকরি পশুটাকে,1,"Meme, TikTok and others"
পুলিশ সোনা পাখি,0,crime
হাই হাই,0,crime
কোথায় কাউকা কাদের কালা মিয়া কোথায় খালেদা জিয়া ছাগীটা সুনাম করতেছে কাউয়ার কাউয়াকে জাতি চিনেনা,1,politics
বড মাপের দালাল বোঝা ষ্যাড়,1,celebrity
বালের ছবি ডাইলক পারেনা অভিনয় বাজে ছবি,1,entertainment
জাফর ইকবাল স্যারের আরো ছবি বানান,0,entertainment
কুত্তার বাচ্চা,1,"Meme, TikTok and others"
মাগির পুলা তরে পাইলে তর পুটকি দিয়া,1,"Meme, TikTok and others"
কাহিনী রে ভাই আগের জান্নাত আপলোড হইছে সমস্যা,0,entertainment
ওতো গাঁজাখোর কুত্তার বাচ্চা গাজা খাই সেজন্য সবাইকে গাঁজাখোর করেছিল,1,entertainment
এসব ভন্ডামি এইসব মাদারচোদেরা জুতা দিয়া বাইরাইয়া দেশ তাড়ানো,1,religion
কান্না খোব কস্ট অপরাধ একটু ভাবতো এতো গুলো মানুষকে কান্নাহ হতনা আপন হারানো কষ্ট ভুগ হতনা দোয়া আল্লাহতালার কছে অপরাধ মানব জাতীকে বীরত রাখে আম িন,0,crime
কেনো ভাই এসব মৃত্যা গুলো তুরা মুসলম মুসলমানে ঝগরা করাও তুরা মিডিয়ার মোনাফিকরা,0,religion
জয় মান্না ভাই হিরো মান্না নামবার ওয়ান,0,entertainment
নাস্তিক বাচ্চা নাস্তিক রা কেমন কুত্তার ঘেউ ঘেউ,1,religion
সালা খানকির পুলা,1,crime
নাম মুবির,0,entertainment
প্রত্যেকটা বাবা মা&#;র বিশ বয়স ছেলে মেয়েদের বিয়ে দেয়া হয়ত বলবেন খাওয়াবে বলব বিয়ের ছেলে মেয়ের বিয়ে লম্ভা সময়টাতে ছেলেকে পায়ে দাড়াতে এমনিতে বিয়ের সবাই কর্মজীবি বিয়েটাকে সহজ বাবা মায়ের অনুরোধ,0,entertainment
আরে পাপন জরিত,0,sports
নামধারী পতিতাকে বাংলাদেশ ভারতে রপ্তানী শুঁটকির গন্ধ,0,entertainment
জামিল মানেই,0,entertainment
ওবায়দুল কাদের মায়রে চুদি অজুগ্গ মন্ত্রী চুন্নী হাসিনার দালাল ইন্দুনীরে টকসুতে চুদিব,1,politics
সাইটে মাজার পুজারিকে কান উঠে হক,0,religion
দেশ টাকে মাদারচোদেরা আগরা বানিয়ে পেলছে হাম্মালিগ হাম্মালিগ চোদার লিগ,1,crime
কুকুরের কঠিন কঠিন সাজা বৌয়ের সাজা,1,"Meme, TikTok and others"
পুলিশে গণো পিটুনি উচিতআমার মুরব্বি বাবা জানোয়ারের বাচ্চা,1,"Meme, TikTok and others"
মাগি বুরখা খুল,1,crime
রানুকে কুকুরের হাসলে লাগে ইষ্টসনেরে কুকুর ঝুটা ভাত খেয়ে বড়ো লোখ,1,"Meme, TikTok and others"
অরে বাবা কিরে খানকি মাগি বোরকা আছিস চুতমারানি তরে পেনটি পরায়া রাস্তায় নামানো দরকার চুতমারানি বোরকার অপমান করিস,1,crime
খানকিরপুত তোদেরকে আমরাই ফেমাস বানাই আমাদেরকে পচাস মাদারচোদেরা,1,entertainment
পাপন দোষ ডাকতে সাকিবের পিছনে লেগে,0,sports
পাপনের চাল,0,sports
আকাটা ধন চুষতে মিথিলার,1,entertainment
সমাজে খুঁজলে ভালো কারো দোষ পেলেই জীবনটা বিষিয়ে পেলে এদেশে নারী পুরুষ বিবাহ বহির্ভূত সম্পর্ক ভিডিও বলেই ভালো ছোটলোকি বুঝা নিচ আচরণ,0,crime
সালা বনডা হেরে পাইলে মার মোও,1,religion
লজ্জা তাসকিন লজ্জা,0,sports
সরকার ডিসি,0,crime
চবি খোজাখোচি করচিলাম ,0,entertainment
ভিড়িও টা ভালো লাগল,0,religion
ভন্ড কুকুৰেৰা শালা পাচ,1,religion
ধরাখেয়ে অসিকার,0,crime
কিস ভোদা চাডা পুটকি মাইরা হাগা বন্ধ দেয়া ভালোই ওরে ধোন চুষতে দেয়া দরকার খানকি মাগি,1,entertainment
জটিল পুরাই মাথা খারাপ,0,entertainment
কারাপের দেকিনা,0,sports
বিস্বাস যোগ্য,0,crime
দোষ শুধুই ডিসির ফ্রি আলকাতরা সাদা লুঙ্গিতে দিধা করিনা সেইখানে মেয়ে দিচ্ছে ভিডিও টিতে ডিসির চাইতে লোভি নারির আগ্রহী বিশি ছিলো,0,crime
পাপন মাদারচুদ,1,sports
ভুদাই দেখিনি জাফর ষাড়কে দেখেছি,1,celebrity
কুত্তা গুলো কেনো মরে জানুয়ার দের আরো ক্ষতি বন্ধ কর খানকির পুলারা,1,crime
বুড়ি মাগী,1,entertainment
অফ আল্লাহ এসব কতো দেখবো এসব কুওাদের বিচার এসব দের ভালো ভালো ছেলে মরে ভালো ছেলেদের কপালে এসব কুওি চেরি পড়ে,1,crime
দুজনের দেহের সাধ মিটিয়ে,0,crime
মাল টা চু,0,religion
সার মজা দিছে সারের কনো দোস,0,crime
আলহামদুলিল্লাহ আল্লাহ আজহারী হুজুরকে ভাল রাখুন,0,religion
কাউয়া কাদের প্রশ্ন দরকার তোরে জনগণের ভোট দিছে কিনা কাউয়া কাদের হাতে ভোট চোর রডের বাঁশ দে বিরিজের ভিতর,1,politics
পাপন কুত্তার বাচ্চার পদতেগ চাই পাপন বাংলাদেশের কলঙ্ক,1,sports
খুলনা টাইগার্স ইতিহাস গড়বে ট্রফি খুলনা টাইগার্স জিতবে সহমত,0,sports
বাল রানা,1,entertainment
অসাধারণ ছবি দেখলাম আমাদেরমাঝে অমর থাকবেদিলদার ভাই,0,entertainment
আচতে টিপ,0,entertainment
মাদারি এখনো বেচেঁ আছিস হালার পো,1,celebrity
ছবি অসকার আনবে গাজার খোর নায়ক জাহেদ ,0,entertainment
বাংলায় সমস্যা ভাইয়া মুসফিক ভাইও পারত ,0,sports
বাংলাদেশে হিরো জানতাম ছবিটা হিরোর ভক্ত গেলাম ,0,entertainment
শালা আজে বাজে ভিডিও,1,"Meme, TikTok and others"
বাইনচোদ এগুলো সালা অশিক্ষিত,1,crime
মুভিটা খারাপ সংসারের ভালো লেগেছে,0,entertainment
খবিশ লালশালু পড়ে মাজারপুজারি গূলি হিন্দূদের মতন লাল শালু পড়েছে লাল কাপড় নবী স নমুনা বাহ সুনাত তরিকা ভন্ড মাজারিরে জুতাপিটা ইষ্টেজ নামানো উছিত,0,religion
টস জিতার ধারাভাষ্যকার প্রতিটি ম্যাচে বলেদেন,0,sports
মেয়েটা খানকি ওরে কুকুর চুদা দরকার,1,"Meme, TikTok and others"
পাপন সালার পোলারে পদত্যক চাই পাপনের পদত্যক চাও,1,sports
খালেদা জিয়ার ওবায়দুল কাদের তুলনা পাগলের বাচ্চা ওরে জুতা বাইরে নেয়া ফটো অশিক্ষিত বর্বর ওরে পাবনা পাঠাইতে বে,1,politics
গেইল ভাল খেলছে অসাধারণ,0,sports
মরোশ কেনো খানকি,1,crime
জায়গায় থাকতাম মালাওনের বাচ্চাদের পাছায় ফু দিতাম সাড়া জীবন আগুন জ্বলতো,1,religion
চাইতে ভালো বিসিবি বসসস তিন ফরমেটের ক্যাপ্টেন কোচ হউক ফুটবল টা শেষ ক্রিকেট টা পথে,0,sports
রে ভাই মানুষরে বোকা পাইছছ কোথাকার ভিডিও কোথায় এডিট করছছ,0,sports
সানিতা সানিলিয়ন মাঝে পার্থক্য আস্তা মাগি,1,entertainment
শাহনাজ খুশি চঞ্চলের মায়ের চরিত্রে ভালো মানাবে ,0,entertainment
আল্লাহ তাদেরই হেদায়ত করুক,0,religion
মায়েদের কান্না কষ্ট নূসরাতের মা কান্না মেয়ের কেমন ফাঁসি চাই ফাঁসি চাই ফাঁসি চাই নূসরাত হত্যা,0,crime
যেই চেহারা নাম রাখছে পেয়ারা,0,sports
বাংলাদেশ আপনারা অপরাধী রে মুক্ত মেয়েটাকে তামাশা করতাছেন পারলে অপরাধী ফাঁসিতে ঝুলান,0,crime
বোডের প্রদান মুখ্য পাএ,0,sports
খানকির পুত মাদার চোদ,1,religion
দারুণ দাড়ি ছিলো হতো মাওলানা সারা নেমে যেতো,0,crime
মুর্খচুদা বক্তা ভন্ড,1,religion
বাংলাদেশে পাপন সাহের লোক মিনিটে পয়দা জায় সাকিবের ক্রিকেটার বছরে টা জন্ম সবাই সাকিবকে সবো;চ্চ সন্মান দিচ্ছি পাপনের সমস্যা কোথায় পাপন সাহেব আপনাকে বলছি বিচিওয়ালা সাকিবের প্লেয়ার বানিয়ে দেখান,1,sports
বিচারক গুলো সবগুলো মাদারচুদ বাইনচুদ খানকির পোলা তদের অধিকার প্রতিযোগীদের অপমান বিচারক দের জুতার মালা পড়িয়ে ঘাড় ধাক্কা লাত্থি মেরে বের,1,entertainment
বিচার,0,crime
আসলে পাগল জামাই,0,entertainment
চশমাওলা বেয়াকুব কোরআন বিশ্বাশ কর হাদিস বিশ্বাশ করনা,0,religion
আল্লমা মামুনুল হক দরকার একাই,0,religion
হালার পো ভনডো,1,religion
সুদর্শন ছবি,0,entertainment
বাংলাদেশ ক্রিকেটকে ধ্বংস করতেছে পাপন কুকুরের বাচ্চা কুকুরের বাচ্চা বাপের ছেলে অবশ্যই পদত্যাগ জারক সন্তান টাকা লোভে পদত্যাগ,0,sports
বড় সইতান,0,religion
চোদা ভালো লাগছে স্যারের স্যারের দোষ স্যারের পেনিস টা বড় মাগি সালি পতিতাকে দোম ভোদার ভিতরে বাশ দরকার বাসটাট মাগি গুলোর সমাজ শেষ য়াচ্ছে ,1,crime
হাইরে মিন্নির দোষ হত্যাকারীদেরকে আরাল ফেলতেছি কিচু আবাল হ হ,1,crime
মাগো শাকিব এতো ভালো হইলো আমিতো জানি নাম্বার ওয়ান চোর কতবার চুরি পড়ছে হিসাব,0,sports
শেয়ার তর মার ভোদার বিতর শেয়ার কোরুম তর মায়রে চুদি উওর দে তরমায়রে চুদি,1,entertainment
শালা তরা ব্যপার নিয়াও মজা করছ শালা মাদারচুদ,1,crime
ভাই ভিডিও দেকলাম শিকলাম অসংখ্য ধন্যবাদ ভাই,0,entertainment
গরিব সার কমেন্ট খাও শুটকি পেত্নি যাও তোমরা মদ খাও সারকেও খাইতে দাও মদ খাইলে বুদ্ধি ,1,celebrity
নয়নই জনতা প্রত্যেকে খুনি বউও,0,crime
নাস্তিক দল,0,religion
জলিল ভাই কেমন আছ,0,entertainment
বাইঞ্ছদ শালা খানকির পথ সোনার ইউটিউবর,1,sports
জানোয়ার পেলে রে কেটে লবন দিতাম সালা জানোয়ার,1,"Meme, TikTok and others"
রাজ মহল তাসের ঘর দরদী শত্রু সোনার সংসার সাপমু্ক্তি কশাই বড় বাড়ীর মেয়ে ন্যায় বিচার স্বামীর ঘর নাগোর দোলা ছবি গুলো আপদিন,0,entertainment
চাই খুলনা চট্টগ্রাম ফাইনালে যাক,0,sports
নরাধম অমিত শাহ অমিত শাহ সন্ত্রাসী মুসলিম বিদ্বেষী হীনমন্য হনুমান রাজ,1,"Meme, TikTok and others"
রুবেন কুত্তার বাচ্চা,1,sports
আজকে খেলবো পাপনকে,0,sports
মালুকে পেলে চুদতাম,1,politics
ভাই৷ ওরা৷ পাগল৷ আর৷ কিছুই৷ না৷,1,religion
শালা শালিরা বিচারক,1,entertainment
হাফেজ কলক ফুতনা বাজ দাজ্জা মুনাফেক ফাঁসি চাই সিরাজ ফাঁসি নুরুল ফাঁসি সাদাত ফাঁসি,0,crime
ভাই দাড়ি টুপিকে সম্মান আপনাকে সম্মান স্যালুট ভাই ডিসি টকশো ভিডিও বানান,0,crime
পাপনের পদতেগ চাও সারা দাও ,0,sports
পাপনের পদত্যাগ চাই,0,sports
মিন্নিরে সবাই মিলে বাস দরকার স্বামি চাই বাট বাকিদের ফাসি,0,crime
ভালবাসা হাহাহাহা,0,entertainment
এইরকম লুইচ্ছা বদমাইশ খানকির পোলাদেরকে জোতাপিটা অফিস আদালত বের উচিৎ,1,crime
আগের নাটক,0,entertainment
পাপন নান্নু শালা পদত্যগ চাই,1,sports
ছেলেকে আইনের আওতায় আনা,0,crime
কাফের এজিদের দালাল মিযান আযারি,0,religion
খানকি ডিসির পাওয়ার চোদাইতো অফিসের লোক গুলোকে ই করতো পতিতা,1,crime
ভাবরে বাবাহ,0,religion
কুত্তার বাচ্চা বিচারকরা ইন্ডিয়ান বিচারকদের শিখতে পারেনা কিভাবে পার্টিসিপেন্ট এরাই অভিনয় জানেনা আসছে,1,entertainment
খুবি মিস বালাম ভাই,0,entertainment
ফাঁসি দিওয়া,0,religion
দিনের পাপন সালা তামিম সাকিব মুশফিক ভালনা ভালো তুর ভাবি হাসিনা ভালো,0,sports
শাহরিয়ার কবির শুয়োরের বাচ্চা,1,religion
বয়স কিতাব পড়েছিস অল্প বয়সে খানকির পোলা থাপড়াইয়া দাঁত ফালায় দিমু বেশসা মাগির পোলা হাদিস সম্পর্কে জানিস,1,religion
পাপন তোমাকে চাইনা গিলটি,0,sports
সুন্দর মুভি দেখেছো লাইক ,0,entertainment
দেখি খানকির পোলারা প্রের্মাস হোয়ার লাইগা কোরে লোকটাকে হয়রানি কোরতেছে জার্চি পরা মাগির পুততো হিরনছি খানকির পোলার পোলাটা কছম বোলতেছে পরও হয়রানি কোরলি মাগির পুত তগোরে মুরসিক ভাই দিবে,1,sports
এতো মা পাগল টাকার মেয়ে সাথী রায় পাগল খানকী,1,"Meme, TikTok and others"
গুয়ে গুয়ে গন্ধ ছড়ায়ে ফেলছে ফাহগু রাগু মগু ফারিগু,1,entertainment
রাতে হাত মারতে,0,entertainment
ভাই নিবার পরই লাল সালাম দেই এইটা দেখার খেলোয়াড় এইটা অনুরোধ ফানি ভিডিও বানাই ভালো তবুও আপনাদেরকে দাওয়াত রইলো,0,sports
মুবিরগান ডুকাইয়া দিছেন,0,entertainment
রুবেল জানোয়ার,1,sports
কানকির পোলাকেগো ফাসি দরকার কিভাবে মেয়েটাকে আগুন দিয়া পুড়াইয়া মারছে ঠন্ডা মাথায় কিভাবে কাজটা,1,crime
বলদ চোদা এডিট বছরের ভাইগ্না ভাল এডিট মোবাইল দিয়া এডিট সিনেমা বানাইছে হা হা হা সিনেমা কাহীনিটা ভাল এডিট অভিনয় বাজে,1,entertainment
বাংলাদেশে হাজারও হাতুড়ে ডাঃ কাজের ভাব দেখায় বেশী,0,entertainment
হায়রে দুধরে একটিবার টিপ পারতাম,1,"Meme, TikTok and others"
নাটক টা দেখার ভক্ত গেলাম অসাধারণ,0,entertainment
রিয়াজের টাকা ছবিটা প্লিজ,0,entertainment
কুকুর কাদের করিতেছেন,1,politics
সাকিব বুক টা ফেটে আহ্ রে সালা চুতিয়া পাপন,1,sports
খানকীর বাচ্চা মিন্নী ফাঁসি,1,crime
পাপোন্দাকে জুতা মারতে তারাই লাইক,1,sports
ধন্যবাদ ভাইয়া আপনাকে,0,entertainment
সবাইকে আইনের আওতায় এনে উপযুক্ত শাস্তি,0,crime
জুতাদিয়া পিটাইয়া ইস্টেজ নামায়া দরকার ছিলো,0,religion
শালার পুত টাকা আরো বিষয়,1,sports
খালেদা জিয়া চুর,1,politics
রিফাত খুনিরা দরে মিন্নী কিন্তুু বাদা বিডও তে যাছে মিন্নী খারাপ মেয়ে,0,crime
সারা বাংলাদেশের মিলেপাপনের গালে জুতা মারা উচিৎ,1,sports
রাসেলের সাপোর্ট গুলা কই,0,sports
মিথ্যা বাদি মাগি পারতি রিফাতকে বাচাতে বিশ্বাস করবো ডায়নী,1,crime
বুঝলাম মাহমুদুল্লাহ ছয় তিন দেখালো,0,sports
লোককে নিজেরা কিভাবে বিচার লাশের লাশ পরবে বাংলা বুকে বিচার সাহস কারো কোপা সামসু বাংলা জনগনকে,0,crime
মতে রমজান দালালের অভিনয় অসাধারণ ,0,entertainment
কুত্তার বাচ্চারে জবা কইরা দে,1,religion
নিজেদেরকে চোরের দেখাচ্ছে অন্যোর চেহারা নিন্দা,0,entertainment
এধরনে সিনেমা,0,entertainment
গাধার বাচ্চা জাফর ইকবাল,1,celebrity
দুধ মাথা নস্ট মেযে জাতির কলক্ক,1,entertainment
বুরো হারামজাদা সিরাজিকে আগুনে পুরানো বাকিদের ফাসি,1,crime
মিরপুর শাহ আলী মাজারে বাবা গাজা খায়,0,religion
একমাএ ভাঙ্গালিরা ভাষার বিতর ভাষা ডুকায়ভাই পাপন ইংলিশ ফুটাস ক্যানবাংলায় বলতেছ বাংলায় বল ইংলিশ বল্লে ইংলিশ বল,0,sports
মিন্নির ফাসি চাই অার ছেলেদের জীবন নষ করবা,0,crime
অনেককষ্টেরছবিএটা এরকম ছবি হয়জীবনে হবেনাআর বর্তমানতহবেইনা,0,entertainment
ডিসিকে সম্মান উচিৎ উনাকে ডিসি মানা,0,crime
হানকির পুলা এইসব বলার ভালো প্রচার কর ভালো মায়ের সন্তান জারজ,1,religion
বিএনপি হচ্চে জংগি পাকিস্তানি প্রোডাক্সসন,1,politics
পুলিশ কুত্তার বাচ্চা ভোহিস্কার পুনররাই জে পুলিশ চাকরী দেবে আমড়া ধোরে নিবো টা জারুজ সন্তান,1,"Meme, TikTok and others"
ভালো লাগলো বন্ধুরা চ্যানেলটা সাবস্ক্রাইব করুন লাইক কমেন্ট করুন,0,crime
ওনাদের গুলো কানা বোকা,0,crime
মাননীয় স্পিকার ডিসিকে ইন্ডিয়া পাঠিয়ে হারবাল ডাক্তার দেখানোর অনুরোধ হুদাই মিনিট নষ্ট করলো টিসু থাকলে বন্যায় বেঁসে যেতো মহিলাটি পেন্টি খুলেছেন হিজাব খুলেন নি বাহ বাহ পাওয়ার যোগ্য মিনিট দেখলেন,1,crime
পাগল ছাগলে দেশটা ভরে,1,entertainment
কিয়ামত,0,entertainment
তরে আড়ং দুধের কম্পানি খুচছে তর চিন্তা দারা বুলো ফিলিম বানাতে চাস তর জাগা বাংলাদেশে সবাই নষ্ট চাস খানকি মাগি,1,entertainment
শালারা ভন্ড ভন্ড জিকির,1,religion
বাহ সরকারি অফিস আদালত পতিতালয় গেসে রেপ কারা করতেছে,1,crime
সালমাম শাহ নায়ক হবেও,0,entertainment
জেলা প্রশাসক প্রশাসন ক্যামেরার কথাও বায়ু চড়া মাথা নিজেকে সামলে চললে সম্মান বাড়ে,0,crime
আজম নাসিরের সন্ত্রীস বাহিনী ত গ্যালারী ভতি যাই,0,sports
নাটক ভালো হয়েছেকিন্তুু শেষ মিলন টা ভালো লাগে,0,entertainment
ওবায়দুল কাদের পাগল সালা পুত মাথা,1,politics
ভালো লাগলো আলোচনা অনুষ্ঠান,0,entertainment
তোর মাগী,1,religion
ভন্ড শয়তান,0,religion
দুন কেটে দরকার,1,crime
বিকৃত মস্তিষ্ক বিক্রিত মাল ভণ্ড মীর জাফর ইকবাল ,1,celebrity
ভল ছেন সবাই পাসের আছি মিজানুর রহমান আজহারি,0,religion
পাপুন্দা পা পুন্দা,0,sports
বোনেরি চুদি,1,sports
আশা সুন্দরহবেনাইচ,0,entertainment
এতটা খারাপ লাগলো রিফাত লাভ করতো ভালোবাসতো হাজবেন্ড হত্যা করল চাই রে মিনির ফাঁসি সবাই চাই রিফাতের হত্যার বিচার,0,crime
ওরে নেন্টা চুদে দিলেও ওটা কাচে নরমাল কারন ব্যাসসার ঘর ব্যাসসা ই জন্ম নেয়,1,entertainment
মিশা বড় বেয়াদব লুচ্চা নাম্বার ওয়ান,1,entertainment
মাগী নিচ তলা ভারা বুঝাতে চাই জানোস মাগী তর ভুদা বিক্রি দুধ বানাইতস ভুদা বিক্রি দুধ বর দরকার ছেলেদের আসতি ফ্রিতে বেশী বর দিতাম তর দুধে মজা আয় তর দুধ দুইটা কাইটা ছোট বর দেই ৷,1,entertainment
এইসব মূর্খচোদা সাংবাদিক বাদ দেও শালা চুতিয়া,1,crime
