sentence,hate,category
শালারপুত পাপন তোর হাত আছে এখানে,1,sports
এই কুত্তার বাচ্চা হলো বাবা খোর দেখেন না চোখ ডলে মাথা ডলে কুত্তার বাচ্চা সত্যি সত্যি বাবা খোর,1,entertainment
এই লোকের পরিবারের এখন কী অবস্থা জানতে ইচ্ছে করছে। এর যা বয়স ছেলেমেয়ে তো বুঝবার মত বড় হয়েছে ।,0,crime
কাপ কারা নিবে।?? রাজশাহী নিবে,0,sports
আরে খানকির পোলা পাপন কোটি মানুষ কে কাদিয়ে এভাবে সাকিবের উপরে পোতিসোদ নিলি,1,sports
এসব কুত্তার বাচ্চাদের কেন রাখা হয়।,1,sports
রুবেল একটা খানকির পোলা তাই খাকির মত আচরণ,1,sports
পাপনের মায়রে চুদি,1,sports
বালের টেলিফ্লিম,1,crime
"বাপদের নিয়ে বই লিখসে, অবৈধ সন্তান আর বীজগুলো সুরসুর করে চলে এসেছে কমেন্টে জ্বলুনি মিটাতে। ছাগুবহুল এক অসুস্থ প্রজন্ম তৈরী হচ্ছে। প্যাথেটিক।",1,celebrity
এই এ ম্যাচে রান করছে 🏏,0,sports
এই কুত্তারবাচ্চা গুলোকে বিচারকের আসনে বসাইছে কোন বেয়াদবের বাচ্চারা,1,entertainment
জ্ঞান অর্জনের সাথে মুর্তির কি সম্পর্ক?? যারা মুর্তির পক্ষে কথা বলে ঐ শয়তানগুলো সত্যিকার অর্থে মুর্তিকে পুজা করে এতে কোনো সন্দেহ নাই।।,0,religion
জামাত- বিএনপি কি তুমাকে হুগা মারে।,1,celebrity
মেয়ের ই অাসল দোষ,0,crime
এই মাদার চোদ কে ইচ্ছা মতে পিটানো হয়েছিলো তার আস্থানা নারয়নগঞ্জ থেকে ভেঙে দেওয়া হয়েছিলো । আমারা ওদের পিডাইয়া এলাকা ছাড়া করছিলাম ।,1,religion
তোর মা কে চোদ মাদারচোদ,1,entertainment
মুশফিক কে গালি দিছে এটা কোন অপরাধ নয় বরং তাকে বুঝিয়ে বললেই হয় একটা মানুষ সবার কাছে প্রিয় হতে পারে না,0,sports
নায়িকার দূধ দুটো সুন্দর,1,entertainment
নারীর কারনে,0,entertainment
শুনে খুব মজা পাইলাম।,0,sports
রুবেল শালা পতিতার বাচ্চা কুত্তার বাচ্চা জানোয়ের বাচ্চা একটা মেয়ের জিবণ নষ্ট করেছিস তর মা বোনের জিবণ অন্ন পুরুষরা নষ্ট করবে শালা পতিতার বাচ্চা,1,sports
শিশু দর্শন কারিদের দরুন তৈরি করুন দেখি।কে যানে এখানে কোন স্বার্থ আছে নাকি টাকা ওলা লোক বটে।,0,crime
কুত্তা লীগ মিথ্যা কথা আর কতো বলবি,1,politics
অপু কে চুদতে চাই গুদের জোর দেখতে চাই।,1,politics
ইনু খাঁন কির পোলায় একটায় সুতিয়া,1,politics
আল্লাহ এই পেড মডুর বিচার করুক। সালায় রাস্তায় পইরা মরুক। ক্রিকেট বোড থেকে বাদ হক। সালা আবালের আবাল 💜,1,sports
ওর জন্ম বস্তিতে হইছে আমি সিউর। 6 মাসে কি বাল হবে???? আজীবন করলেও কোন যায় আসেনা। আমাদের দেশে প্রতিভার অভাব নাই।,1,sports
কেকে মিজানুর রহমান কে ভালোবাসো আমার এই কমেন্ট এ লাইক দাও,0,religion
কুতার বাচ্চা নামাজ নিয়ে কথা বলি কেনো,1,"Meme, TikTok and others"
কুকুরের জীবনী পড়ে যে টুকু সময় ব্যায় হলো আমার জীবনে মনে হয় এই প্রথম  ডাস্টবিনে মুল্যবান   সময়টা ফেলে দিলাম ।,1,celebrity
এই লিস্টে যারা আছে তাদের দু’জনকে হত্যা করা হয়েছে। দু’জনকে দেশ ছাড়া করা হয়েছে। দু’জন নিজেই মরে গেছে। যথেষ্ট নাস্তিক হত্যা করা যায় নাই। ভাই বাকিদের লিস্টও প্রকাশ করেন। তারপর তাদের তো হত্যা করবেন সেটা জানা কথা। যদিও সিরিয়ায় আপনারা হেরে গেছেন তবু অনেক গোপন অস্ত্র আপনাদের কাছে এখনো আছে। আর এতগুলি আস্তিককে যেই সরকার ফাঁসি দিলো সেই সরকারের প্রধানকে এই লিস্টে দেয়া হয়নি কেন? তাকে হত্যার চেষ্টা তো আপনারা করছেন অনেক দিন ধরে। ইমান দুর্বল হয়ে গেছে নাকি?,0,religion
অপু উকিল তুই তো ভোট চোর তোর মুখে লাথি মারী ।,1,politics
শালারে পাপনরে মার,1,sports
যমুনা টিভির সাংবাদিক কে বলতেছিজনগনের কমেন্ট গুলো পাপন সাহেব কে দেখান,0,sports
জুতা আর মোজা দুইটা দিয়া একসাথে সবার গালে পিটানো উচিত ফালতুর বাচ্চাগুলা।তাহসিন ভাইয়া তুমি কই। একটা আনলিমিটেড ভরে দিয়ে যাও তো,0,entertainment
মাগির ফুলা করছে কামটা,1,crime
নিরিহ কাজের মেয়ে পেয়ে আকাম করলো - মেয়েটাও সেই পদেরই,1,entertainment
আল্লাহ এদের হেদায়ত দাও,0,religion
এই মুভিটি রিমেক করার দরকার।,0,entertainment
শেষের সিন টুকু অনেক কষ্টের!!!!😥😥,0,entertainment
"আসলেই,পুরাই,ফালতু,নাটক",0,entertainment
পাপনের পদত্যাগ যারা চান লাইক দিন আর যারা চান না কমেন্টের রিপ্লাই দিন।,0,sports
সেরা ছবি ভালো লাগে,0,entertainment
আমির হামজা কে আমি ভালোবাসি,0,religion
হালার ঘরে হালা তোরা যে বিচার করো তো করতে পারিনা,1,entertainment
ধন্যবাদ খুলনা টিম,0,sports
শালাকে কবিরাজ দেখা দরকার ।,1,crime
তুই বড়ই পালতো বেটি।এই বেটি জাতিকে দুধ উপহার দেয়।এরে হারাম জাদি তুই জাতিরে নিছতলা উপহার দেছ।,0,entertainment
বাংলাদেশে পাঠাবে মদি কে পুটকি মেরে মাইরালাব বাঙালিরা,1,"Meme, TikTok and others"
হালারে মুলার জুস খাওয়া,0,sports
অনতরজালা,0,entertainment
মাদার টোস্ট বিচারক গুলো,1,entertainment
ভাই আমার মন কি বলতেছে তা বলে বোঝাতে পারব নাবলির পাঠা হলেন সাকিবএর উপদান অনেক বেশি,0,sports
এটা শুধু আমার একার দাবি নয় সারা বাংলাদেশের🇧🇩🇧🇩 মা বাবা ভাই বোন এবং সকল নাগরীক দের দাবি।,0,crime
এ ভন্ড,0,religion
ভাই ধরা পরলে চোর আর না ধরা পরলে সাধু তাই সবাই নিজের দিকটা চিন্তা করেন,0,crime
এই মেয়েটা একটা খাংকি মাগী ওর হাত রয়েছে।,1,crime
তাহিরী খাংকির পোলা এর জলমো নাসতিকের বারিত,1,religion
এই শালি সামুকের মত ডিসির ধনকে হেটা দিয়ে মুরাইছে ডিসি আরাম পাইছে আর মহিলাটা টাকা বানাইছে,1,crime
জাতির প্রশ্ন : আমিন খান কি সারা বছর সাইড হিরো হিসেবে কাজ করবে ??,0,entertainment
ভাবছিলাম আমিন খান নায়ক<br />বাংলাদেশ আবাল দিয়া বইরা গেছে।<br />বুঝে-না বাল ও আমিন খানরে দিছে সাইড নায়ক আবাল রে দিছে মেইন নায়ক তোগর ছবি দেখবো বাল<br />আমিন ভাই এই বাল মার্কা ছবি কিসের জন্য করে তাই তো বুঝিনা।<br />টামিল এ ছবি বানায় ৬০ বছরের নায়করা আর আমিন ভাইয়ের তো বয়স ৪৭-৪৮তাহলে সে এই বাল মার্কা ছবি কেনো করে।,1,entertainment
কুত্তার বাচ্চা তোরে পাইলে শেষ করে দেবো কুত্তার বাচ্চা,1,"Meme, TikTok and others"
কথা শুনে মনে হচ্ছে উক্ত ঘটনার সাথে উনিই জড়িত!,0,crime
শালার পুতেরা তদের কি কাজ নাই,1,entertainment
গ্রামের নটকতো ভালোই লাগবে,0,entertainment
কে আগে নামাইলে ভালো হবে,0,sports
হে আল্লাহ এমন জানোয়ার সন্তান কোন মায়ের গর্ভে জন্ম দিও না,1,"Meme, TikTok and others"
বিচারক দের গুষ্টি চুদে দিতে হবে,1,entertainment
হা হা হা হা হা হা হা হা কথা গুলো খুব ভাল লগছে,0,entertainment
কি আমার সোনার নায়িকা বাংলা ই বলতে পারে না ঠিকমত আবার কথায় কথায় ইংলিশ চোদায়,1,entertainment
এই নাস্তিক দের মেরে ফেলা উচিত,1,religion
"ছাগলের বাচ্চারা, শিরোনাম কি আর দেখায় কি",1,sports
সালা আবাল চুদা।। বলদের মত কথা!; একসময় বাংলাদেশের স্পিন সেরা ছিল এখন বাংলাদেশ থেকে আফগানিস্তান পাকিস্তান ভারত স্পিনে ভাল।।তাইলে আপনারা কি ভাল ফালাইতাছেন?? বাংলাদেশ স্পিনের উন্নতি না হইয়া অবনতি কেরে??,1,sports
তুই হইলি একটা দালাল ছাগল,1,celebrity
বাংলাদেশের এক নাম্বার মাগি সে,1,entertainment
দারুন লাগছে ছবি টা,0,entertainment
তোদের মতো পাগল ছাগলের কারনে আজ দেশের মানুষের এই অবস্থা তোরা দেশে গুজব ছড়িয়ে দিছশালা কুওার বাচ্চারা।।,1,sports
ভিডিওটি ওপেন করা মাত্রই কমেন্টস্ সেকশনে চলে আসলাম 👅😜 কমেন্টসগুলা পড়তে । 😁😀😂😂,0,entertainment
সালামুআলাইকুম প্রথম অনুরোধ রইল আমার মেসেজটি পড়ার জন্য পৃথিবীর বুকে সব কিছুরই ধর্ম আছে কর্ম আছে পৃথিবীতে সব কিছুরই তার সাজা আছে এটাও সঠিক এলাকায় যে কোন জিনিসটা হয়ে গেল এটা কি কোন সাজা হবে না এটাতো তার চেয়ে বড় কিছু এটা নিয়ে আমি আইনজীবীর কাছে আদালতের কাছে প্রার্থনা করছি কি সাজা দেওয়া যায়,0,crime
ফেরাউন এর বংশধর সালা,1,religion
নাস্তিক কানকিপোলা গোরে এই বাংলাদেরের রাকা হয়েছে কেনো,1,religion
এক কথায় বুঝে নিবেন বাংলাদেশে কোনো মানিক মুক্তার দাম নেই যা বর্তমান শ্বাসক গোষ্ঠীর কারনে,0,sports
ভুলে ভুলে জীবনটা শেষ ভালোবেসে কি ভুল আমি করেছি যতটা না কাঁদে মানুষ,0,entertainment
ভাই দুজনকে মেডিকেল চেকাপ করলে ধরা পরবে কিনতু বাংলাদেশের আইন তা করবেনা। সব জায়গায় মামা চলে।,0,crime
চোর ধোরলে চুরি করি নাই,0,crime
পাপনদার জন্য আমার পায়ের জুতার বারি কারাকারা একমত,1,sports
আগে দোষ দিবো চ্যানেল আই কে এই পাগল ছাগল বিচারক আমার বালের বিচারক এই খানকির পোলাদের ছিড়া জুতা দিয়ে মারতে হবে।,1,entertainment
যত তারা তারি পারেন এ পাপিদের কে ফাসি দিয়ে দিন এ দের পরিবারের কাননা দেখলে চলবে না নুরাতের পরিবার এর চেয়ে বেশি কাননা করেছে তাই আর দেরি তারা তারি দিয়ে দিন,0,crime
কুত্তালীগ মার্কা জানোয়ারের বাচ্চায় এগুলো কি বলে,1,politics
মাগির হোত তোইমা পাতেমার জুতার জুগ গতা হচনা,1,religion
মন থেকে বলছি আমি ওখানে থাকলে ঐ কুত্তার বাচ্চা গো মাইরা নিজেও মৃত্যুর জন্য তৈরি হয়ে যেতাম,1,religion
ছারের কোন দোস নাই। মজা ছার ও পাইছে আমিও পাইছি।😄😄😋😋🤣🤣😆😆😅😅,0,crime
বাংলা নাটক অনেক ভালো ইন্ডিয়ান নাটক দেখে পাগলে,0,entertainment
এই মাগি তো হিন্দু আর হিন্দুর বাচ্চারা যা বলে সব মিথ্যা বলে,1,politics
মিনিটে দুটো জিনিস লক্ষ্য করলাম। মাইয়াটা অনেক পর্দাশীল ।এক মিনিটের জন্যে ও হিজাব খুলে নাই ডিসি সাহেব শুধু মাঠে দৌড়াদৌড়ি করে গেলেন ।ফাঁকা মাঠ পেয়েও গোল দিতে পারলো না।মনে হলো টাওয়ারের নেটে সমস্যা ছিলো। ★তবে ডিসি স্যার কে দ্রুত যৌন ডাক্তার দেখানো দরকার★,0,crime
বালের স্ত্রী। হাটার স্টাইল দেখছ?,1,crime
আমি খুব খুশি হয়েছি কারন আপনি আমার অনুরোধ রেখেছেন।,0,religion
দেওয়ানবাগী খানকিরপোলা জারজের সন্তান সরল মুসলমানদেরকে কাজে লাগিয়ে শয়তানের আখড়া বানাইছে। খ্যাংকস ছোট ভাইরা এই ভিডিওটির জন্য। দেওয়ানবাগীর গালে জুতা মারো তালে তালে।,1,religion
সাবাস দস্ত😂🔥🙏,0,sports
সাবস্ক্রাইব করে সাথে থাকুন দারুন সব খবর সবার আগে জানতে,0,crime
শুয়ারের বাচ্চারা।,1,religion
আমার মতো কে কে জান্নাত দেখার অপেক্ষায় থাকো...তারাই হাত তুলুন.....?,0,entertainment
হ্যা তদন্ত কইরা বাল ফালাইয়া খালে নামাইয়া দিবা!! সেটা সবাই জানে,1,crime
এই সব বনড হজুরদের জুতা পেটা দরকার। যারা মিজানুর রহমান আজহারির ভুল। ধরে,0,religion
হায়রে জনগণ এতগুলা মানুষ থাকা সত্ত্বেও হুজুররে এ কিভাবে অপমান করে আপনাদের সামনে ওর হাতটা কাইটা ফালা,0,religion
এই চেতনা বেশ্যাটার কি সামান্যতম হায়া শরমও নাই?!?!,1,celebrity
এমন মানুষ কোনো করে,0,crime
কে হবে মাসুদ রানাকে নিয়ে যতোগুলা রোস্ট ভিডিও দেখেছি আপনার রোস্ট ই সেরা আর্টিসদের সাথে বাজে আচরণ ভুল এবং চোখে আঙ্গুল দিয়ে দেখিয়ে দিয়েছেন! আপনার ফ্যান হয়ে গেলাম তাহসিনেশান ভাই🌸❤,0,entertainment
বাংলাদেশ ইতিহাসের<br />সব থেকে সেরা সিনেমা,0,entertainment
তোমারে চোদে শয়তানে মাগি,1,entertainment
আপনি কি বললেন আমার সবাই মমো এই খানকি মাগি কে চিনি,1,entertainment
শালী তর বুদায় এতজালা তর সামি কি তরে চুদা দিতে পারেনা স্যারের দোষ নাই স্যারের দোষ নাতাকলে তকে চুদল কিবাবে,1,crime
নুরু জারজ বাচচা কে পাকিতান পাঠানয় হক জারজ বাচচা নুরু,1,politics
ঐ জানোয়ারেরা জখন ও কে ফুড়িয়ে মারছিল তখন ওর মা বাবার কাছেও এমন ই লাগছে,1,crime
আমারা কোন বুজলাম না পাপন কোন মাদার চুদ সে কে তার বাড়ি কই সে বাংলাদেশ টারে ধংশ করতে চাইতাছে আমরা বুজে গেছি রে পাপন চুদির পুত,0,sports
আমি চাই সব খুনের বিচার এইভাবে করুক আমাদের দেশে সরকার তাহলে হইতো আরেকটা খুন করতে কেউ সাহস না পায়,0,crime
আলীরাজের বউয়ের মতো কারো বউ না হয়,0,entertainment
দুরতরি পুরাই ফালতু নাটক,0,entertainment
এগুলো সব হলো কুকুরের বাচ্চা ওরা ওদের মায়ের পেট থেকে বের হয় নাই এরা কুকুরের পেট থেকে বের হয়েছে,1,religion
আমি মনে করি যারা এইগুলাতে অডিশন দিতে যায় তারাই আসল ভোদাই। এই টুকু কমোন সেন্স নাই তাদের যে তারা এইটা চিন্তা করে না যারা তাদের জর্জ তারাই তো জিবনে অডিশন দিয়া মিডিয়াতে আসে নাই তো তারা কিভাবে অডিশন নিবে অন্য মানুষের। বাংলাদেশের বর্তমান কিছু মিডিয়ার মানুষ হল বোকাচোদা।,1,entertainment
পাপন সাহেব অনেক হয়েছে এখন আপনি বিরতি নেন,0,sports
অপু চুদা খাভে,1,politics
বাংলাদেশের হাজার হাজার মাজার আছে যেকানে গাঁজা খাওয়া হয় 😡😡,0,religion
আমিতো এই টা তিনবার দেখেছি,0,entertainment
রস আসলে চুদতে দিও,1,"Meme, TikTok and others"
তাহিরী হুজুরকে জুতার মালা গলা দিয়ে গরু রামু,1,religion
এই পাপের এক অংশভাগ হাছিনার,0,crime
এই হল নাস্তিক চুদিশীল সমাজ!!,1,celebrity
সালারে জুতা মার,1,sports
হাসিনা মাগির ফাঁসি চাই ✊✊,1,politics
ভন্ড মাজার পুজারী বদমাইশ পীর মুরিদী ব্যবসার দোকান খুইলা বদমাসি করছ তোরা,0,religion
কানকির পুত চুপ তাক,1,"Meme, TikTok and others"
ওয়াজ এর মধ্য কোন মাধুর্যতা নাই। ফাটা বাশের মত।,0,religion
আত্মাহত্যা কর সালা,1,crime
আফিফের ক্যাচটা সেরা হয়ছে।,0,sports
গাজা খোর,0,sports
পাপন কে চাই না কোটি মানুষের দাবি,0,sports
এ জানয়ার এর নাম জানিনা তবে সালা ভন্ধ এ জানয়ার জতু মিলাদ নেতে ছেরেছে সব ভুল,1,religion
ভাইয়েরা আপনারা কি একটা জিনিস খেয়াল করছেন এতদিন তো ম্যা ফিকশন কথাই আসেনি যখন তারা আন্দোলন করছে এরপর থেকে তো এসব ঘটনা গুলো না,0,sports
সাকিবের বাল গুলো ছিরো তোমরাক্রিকেটের মাইরে চুদি পাপনের মেয়েরে চুদিনান্নির বউরে চুদিআকরামের খালারে চুদি,1,sports
জানোয়ার,1,crime
খুব সুন্দরনাটক,0,entertainment
তাদের জাতীয় দলে খেলার যোগ্যতা নেই।,0,sports
পাপন জুয়াড়ি,0,sports
বালের ছবি করে হালার পুতেরা অপরাধি মরে না,1,entertainment
এই নায়লা নাইমের সাথে অশ্লীলতার কারনেই আজ সাব্বিরের পারফরম্যান্স এত খারাপ,1,sports
ভাই সত্যি দেখার তোমাকে জানাই এবং সবস্ক্রাইব নোটিফিকেশন করলাম,0,religion
এইটা তদন্ত করার কি আছে বুঝলাম না😂😂😂দেশে সব অপরাধ জগতের মানুষের একই কথা তদন্ত চলতেছে চলবেই,0,crime
মালুর জাত তোদের কচুকাটা করা হবে খুব শীঘ্রই ইনশা আল্লাহ্ বাবরি মাসজিদ কেন গোটা হিন্দুস্তান দখল করবো আমরা মুসলিমরামুসলিমদের ভয়ে সব জায়গার নাম পরিবর্তন করছে গোবর খোর মালুরা,1,"Meme, TikTok and others"
বালে গান,1,crime
এটা নিশ্চয়ই পাপোনের চাল এটা বাংলাদেশ সরকার দেখা উচিত। বাংলাদেশের সম্পদ সাকিবুল হাসান,0,sports
সালারে কাছে পাইলে জুতা মারমু কুতার বাচা,1,religion
সাব্বাস কাকের কণ্ঠে কুকিলের সুর হারামির বাচ্চা,1,crime
এমন বিচারকের দুই গালে জুতা মার তালে তালে শালা বিচারক এরা আসলে নিজেকে কি মনে করে এইরকম মানুষ কি বাবে বিচারক হইছে মানুষ কে অপমান করার অধিকার কে দিয়েছে এদের,1,entertainment
অপরাদি জন্ম দিয়ে একন কান্না কিসের,0,crime
কুত্তার বাচ্চা কুত্তার বাচ্চা কুত্তার বাচ্চা ভারত এর সাথে জরিতসাকিব কে নিয়ে নোংরা খেলা খেলছে।পাপনের গালে আগে জুতা মার।সাকিব কে বছরের জন্য নিশিদ্ধ করেছে। এক বছরের সাজা বাতিল।,1,sports
দূর দূর হালার হালা ই কিজাত গেইম । তাছকিন এতো খারাফ আগে জানতাম না,1,sports
হৃদয়স্পর্শী গানের কথাগুলোর সাথে সুরের এতো বেশি মিল বন্ধন যা একাধিকবার শুনতে বাধ্য করা হলো।❤,0,entertainment
আসল কথা হচ্ছে টাকা গুলা সরকার খাবে এইসব ক্লাবকে জরিমানা করবে সেই টাকা গুলা ও পাবে সরকার কিন্তু এইসব ক্লাব বন্ধ করে দিবে না ঠিকি ভূল পথে থাকা মানুষ গুলা সারাজীবন ঠকে যাবে আমার বালের দেশ,1,crime
ভাই আগে জানতাম না সামি বিদেশে থাকি বাচ্চা কি বাভে হয় এখন বুজলাম,0,crime
একজন অতিরিক্ত ফিল্ডার হিসাবে নেমে টা ক্যাচ ধরা ’ জাকির আলী,0,sports
আফগানিস্তান ইতিহাস করবে বাংলাদেশ ওদের কাছথেকে টেস্ট সিকা দরকার,0,sports
লা ইলাহা ইল্লাল্লাহ পরতে পারে না অনি আবার আলেম,0,religion
অবশ্যই অসাধারণ হয়েছে,0,entertainment
ওরে আইনের মাধ্যমে নয় আমি সামনে পেলে ভুমবাই মরি দিয়ে করা রোদে হাত পা চারদিকে টানা বান দিয়ে রেখে দিতাম তাহলে বুজতো কুরআন ও ইসলাম ও মহান আল্লাহর নামে এসব বলা কতো অমানবিক আল্লাহ কেন তার ওপর গজব নাজিল করে আমরা তার বান্দা হইয়ে সইতে পারি না আল্লাহ কাছে কেমন লাগে জার দইয়ায় এই পৃথিবিতে আসা আর তারে অপমান আল্লাহ তোমার কাছে আকুল আবেদন রোজহাশরের মাঠে তাকে কঠিন থেকে কঠিনতম শাস্তি দিবা আসুন মুসলিম ভাইবোনরা আরো একটিভ হই এসবো নাস্তিকদের আমাদের বাংলার বুক থেকে ধংশ করে দেই প্রয়োজনে জীবন দিবো তবু মহান আল্লাহর নেমে অপমান সয্য করো না ওপরে একটু খারাপ বিহেপ করে বন্ধুরা মনে কিছু করবেন প্লিজ ভূলকিছু বলে থাকলে খমার দৃষ্টিতে দেখবেন আসলে মহান আল্লাহর ও সঃ নামে কিছু শুনলে মাথা ঠিকরাখতে পারি না?,0,religion
তোর হেডা মাগীর পোলা,1,celebrity
মাগীরা বিয়ে করে পাবে একটা বিয়ে ছাড়া পাবে অনেক নিত্য নতুন এক ঢিলে দু পাখি। বিয়ে ছাড়া যদি আর্থিক আর দৈহিক দুটোই ছাড়ানো যায় তাহলে বিয়ের দরকার কি?,1,sports
তর৷ মারে৷ চুদি,1,crime
আল্লাহু আকবার।তুমি তাদের হেদায়েত দান করো।,0,religion
ফাসি দেওয়া দরকার শালাকে,1,"Meme, TikTok and others"
পাপনের মত আহম্মকের কারণে দলের এই অবস্থা। আর এমপি মন্ত্রীরা কেমতে ভাল খেলবে?,0,sports
বানচোদ শালা জাজমেন,1,entertainment
"ভাই দেখা ছবি দেন কেন এই ছবি অনেক বার দেখেছি যদি পারেন তাহলে রুবেলের,,,<br /> জজ সাহেব, পলাতক আসামী, পেমিক ডাকাত, ইনকিলাব ,নিশ পতি, বিচারপতি ,গোয়েন্দা, লড়াকু সন্তান ,ও শাবানাওআলমগীরে,,,,<br /> বাংলার বধু ,বাপের টাকা ,গরীবে বউ ,শাস্তি চাই ,এই ছবি গুলো যে কোন একটা ছবি দেন ভাই আপনাদে কাছে আমার অনুরুদ",0,entertainment
বোকাচোদা বাংলাদেশ বোকাচোদা শালা কুত্তার বাচ্চার ভিডিও কেনরে,1,"Meme, TikTok and others"
ফরহমিনা তোর কথা শুনলে আমার কেমন সোনাটা সোজা হয়ে যায়,1,"Meme, TikTok and others"
এমপি ম্যাডামের এত বড় 😋 😋,0,entertainment
আমার ভালবাসা,0,entertainment
সাকিব ভাইকে মাঠে দেখতে চাই। আর পাপন বন্ধুকে মাসের জন্য নিষিদ্ধ দেখতে চাই,0,sports
অামার প্রিয় বক্তা মিজানুর রহমান অাজহারি অাল্লাহপাক রাব্বুল অালামিন অাপনাকে নেক হায়াত দান করুক যেন বিশ্বের জমিনে ইসলাম প্রচার করে ইসলামকে অারও মজবুত করতে পারেন অামিন||||||||তাহেরি যে বন্ড সবার ধারনা হয়ে গেছে অাশা করি তার ভন্ডামির অবসান শীঘ্রই ঘটবে,0,religion
আগে কমেন্ট দেখি পরে নাটক✌✌,0,entertainment
কুমিল্লায় দেশি কয়টা বলদ খেলে তারা কুমিল্লাকে ডুবাইছে।,1,sports
সালার পুত তুর মারে ছুদি একজন দিনদার আলেম কে নিয়ে একটা মিথ্যা কথা লিখেছচ তুই একজন মুনাফেক ইহুদির দালাল,1,religion
ইন্ডিয়ান নিজেরা ত পাগল সালা দুনিয়ার সবাইকে পাগল মনে করে বাবর এর কাছে জমির অভাব ছিল তাই মন্দির এর উপর মসজিদ করেছেন পাগলের কথা সব এই সব যুক্তি মিথ্যে,1,"Meme, TikTok and others"
বুকে ওড়না দাও নামাজ পড়ো আল্লাহর কাছে মাফ চাও বেহায়া নারী বড় বড় দুধ দেখায় পোলাপান গো,1,"Meme, TikTok and others"
শেষ পযর্ন্ত দুই জনের সাথেই লিভ চুগেদার করে জীবন চললো <br /><br />নাটকের চরিত্র গুলো বাস্তবিক ছিল <br />কিন্তু শেষে দুই জনের সাথেই এটা মেনে নেয়া যায়না,0,entertainment
নয়ন বন্ধ যদি আমার ভাই হতো তাহলে আমি নিজেই ওকে মেরে ফেলতাম। যে কাজটি নয়নের মায়ের করা উচিত ছিল। ! কারণ তার একটা কুলাঙ্গার সন্তানের জন্য অন্য মায়ের কোল খালি হবে কেন। ? আর কুকুর যদি পাগল হয়ে যায় সেই কুকুর টি মেরে ফেলাই বেষ্ট !,0,crime
সুয়োরটা বাবাকে কিরোম মারলো,1,"Meme, TikTok and others"
ভালো লাগে যখন বিগ স্কোরিং ম্যাচ হয় ❤,0,sports
কিছু করার নাই অপরাধীর সাজা হওয়া উচিত,0,crime
মাছিহ দাজ্জাইল হোলো দেওয়া বাগী,0,religion
পাগলে কি বলে কিছু ই বুজলাম না । কোথায় খালেদা জিয়া আর কোথায় কাউয়া। সুষ্ঠু নির্বাচন হলে কোন দিন কাউয়া এম পি হতে পারে না।,1,politics
একরকম একটা মাদক ব্যাবসায়ী খুনি র সাথে কে ঘর করতে চাই যারা এরকম ইভটিজিং সীকার শুধু তারাই বোঝে।কাউকে বলতে পারেনা দোষ হয় মাঝখান দিয়ে মেয়েদের।,0,crime
সব গোলো জানোয়ারের বাচ্চা জানোয়ার পতিতা বদমাইশ ভাল করে খবর নিয়ে দেখেন পতিতা গিরি করে এই পর্যন্ত আইছে,1,entertainment
তুই মুসফিকের নামে মামলা দে তাহলে দেখবি সব সত্যি বেরহয়ে আসবে তাহলে তেল মারা সব মাদারচুদ ঠিক হয়ে যাবে,1,sports
অডিও পাব কোথায়,0,entertainment
দোলাতো মনে দোলা দিয়ে গেলে,0,entertainment
মান্নার অভিনীত সিনেমাগুলো অসাধারণ,0,entertainment
সালায় এক ভন্ড দেওয়ানবাগী,1,religion
বসেন বসেন শালারে বাশ দেন,1,religion
কারা কারা খুশি হয়েছে এই ফাসির রায় শুনে দেখি সেই ফ্যান গুলো কে,0,crime
তর মারে চুদে হালার পুত<br />এই সব ফালতু কতা,1,entertainment
আপনার য়ত ভিডিও দেখছি সব থেকে এই ভিডিও আমার ভালো লাখছে,0,religion
"ওই মিয়া , #আন্দোলন শেষ , আন্দোলন নিয়া  তুমি পোস্ট দেওন #চোদাও কেন ? যাও মিয়া বই লিখে ,বেচো গিয়া :)",1,celebrity
এই সকল দেওয়ানবাগী মাদারের বাচ্চা এখনও আইনের আওতায় আসলো না কেন ??,1,religion
এই মেয়ে সম্পুর্ণ ভাবে জড়িত। কারণ দেখাই যাচ্ছে তারা আগে থেকেই মিটিং করে আসছে। এই মেয়ে জড়িত আছে।,0,crime
মেয়েটা অভিনেত্রী,0,crime
খেলা দেশের জন্যে খেলছে টাকা নিয়ে টানাটানি করলে রেংকিং টেস্ট তে নাম্বার আর ট তে ও ।। ভালো খেললে টাকা আপনা আপনি টাকা আসবে টাকা দিবে। দেশ তাকিয়ে থাকে ক্রিকেট কে। এখন দেখছি ফুটবল কে সাপোর্ট করতে হবে।,0,sports
মাননীয় স্পিকার আমি চোদনা হয়ে গেলাম,0,crime
এই মিন্নি দায়ি ওকে কেন পুলিশ দরছেনা,0,crime
এই খানকির পোলাদের কারনে আজ ইসলামের বদনাম হয়তেছে,1,religion
পাপনকে সরাতে হবে,0,sports
মিন্নি জরিতো আছে,0,crime
ঠিক বলেছেন ভাই সাকিবের মতো এভাবে করা ঠিক হয় না সাকিবের পেছনে কোন হারামি শালা লেগেছে?⚔️❤️এতো সুন্দর অলরাউন্ডার সাকিব ❤️,0,sports
দুনিয়াতে তর্ক করা যায় আখেরাতে নয় আল্লাহ আপনি সবাই কে হেদায়েত করেন আমিন।,0,religion
কুকুরের বাচ্চার চোখে ছানি পড়েছে।,1,celebrity
